6,"McCloud Railway 25"," McCloud Railway No. 25 is a 2-6-2 locomotive that worked on the McCloud River Railroad. It was purchased new from the American Locomotive Company (ALCO) in 1925.On July 3 1955 the locomotive was the one that ceremoniously opened the Burney Branch by bursting through a paper banner with a special excursion train. At some point after this the locomotive was retired.In 1962 No."
2,"Military College of Engineering (Pakistan)"," Military College of Engineering is located at Risalpur in Nowshera District Khyber-Pakhtunkhwa Pakistan. Military College of Engineering was established by the Pakistan Army."
11,"Eriogonum zionis"," Eriogonum zionis common name Zion wild buckwheat or Point Sublime wild buckwheat is a plant species native to the southwestern United States the states of Utah and Arizona. It grows on sandy or gravelly soil at elevations of 1300-2300 m.Two varieties have been named:var. zionis the Zion wild buckwheat with white to yellow flowers has been reported from scattered populations in 4 counties in Utah (Kane San Juan Washington and Wayne) and 2 counties in Arizona (Coconino and Mohave). var."
10,"Eupoecilia inouei"," Eupoecilia inouei is a species of moth of the Tortricidae family. It is found in China (Guizhou Hebei Henan Hunan Jiangxi Jilin Ningxia Shaanxi Shanxi) Japan Korea and Russia.The wingspan is 13–16 mm."
2,"Benson High School (Minnesota)"," Benson High School is a public high school located in Benson Minnesota. The school educates about 520 students in grades 7 to 12 in the Benson Public Schools District."
10,"Asura postbicolor"," Asura postbicolor is a moth of the Arctiidae family."
3,"Damiano Mazza"," Damiano Mazza was an Italian Renaissance artist active during the 16th century. He lived in the Venetian city of Padua 40 km west of Venice. It is known that he studied under the esteemed artist Titian."
10,"Thallarcha partita"," Thallarcha partita is a moth of the Arctiidae family. It is found in New South Wales Queensland and Victoria.The wingspan is about 15 mm."
7,"Cedar Crest Addition Historic District"," The Cedar Crest Addition Historic District is a residential subdivision and historic district in Normal Illinois. The subdivision is bounded roughly by Division Street to the south Highland Avenue to the north Fell Avenue to the west and a local recreation trail the Constitution Trail to the east. Developed from 1914 to 1930 Cedar Crest Addition was the first large planned subdivision in Normal."
13,"The Don Juans"," The Don Juans (Czech: Donšajni also known as Skirt Chasers) is a 2013 Czech comedy film directed by Jiří Menzel. The film was selected as the Czech entry for the Best Foreign Language Film at the 86th Academy Awards but it was not nominated. Originally Agnieszka Holland's mini-series Burning Bush had been selected to represent the Czech Republic. However AMPAS disqualified the film citing regulations that the film must not have initially appeared on television."
13,"Happy New Year (2014 film)"," Happy New Year is an upcoming 2014 Bollywood action comedy-drama film directed by Farah Khan and produced by Gauri Khan under the banner of Red Chillies Entertainment. The film has an ensemble cast which includes Shah Rukh Khan and Deepika Padukone in the leads with supporting roles by Abhishek Bachchan Boman Irani Sonu Sood and Vivaan Shah."
5,"Keith Falconer Fletcher"," Keith Falconer Fletcher was born in Altamont New York on September 24 1900 and died in Modesto California in 1987. He was a book dealer. He served in the Massachusetts House of Representatives 6th Hampden District from 1937 to 1942. He was educated at Sidney High School in New York Hamilton College and completed his graduate studies at Harvard University. He was a member of the Delta Kappa Epsilon fraternity. Prior to serving in the House of Representatives Mr."
4,"Jeremy Colliton"," Jeremy Colliton (born January 13 1985) is a Canadian professional ice hockey centre who is currently signed to Mora IK of the Swedish HockeyAllsvenskan. He has previously played in the National Hockey League with the New York Islanders."
1,"HubSpot"," HubSpot develops and markets a software-as-a-service product for inbound marketing also called HubSpot. The software has features for social media marketing email marketing content management web analytics and search engine optimization among others. The company was founded by Brian Halligan and Dharmesh Shah out of the Massachusetts Institute of Technology in 2006. Originally funded by Shah and a faculty member at MIT it raised more than $100 million in funding."
10,"Costoanachis semiplicata"," Costoanachis semiplicata is a species of sea snail a marine gastropod mollusk in the family Columbellidae the dove snails."
2,"Faculty of Engineering University of Ruhuna"," Faculty of Engineering Ruhuna is one of seven faculties of University of Ruhuna."
14,"Subspace Explorers"," Subspace Explorers is a science fiction novel by E. E. Doc Smith. It was first published in 1965 by Canaveral Press in an edition of 1460 copies. The novel is an expansion of Smith's story Subspace Survivors which first appeared in the July 1960 issue of the magazine Astounding."
11,"Arnoglossum atriplicifolium"," Pale Indian Plantain (Arnoglossum atriplicifolium) is a perennial North American wild flower from the family Asteraceae. It is widely distributed through the eastern states of the United States but it is listed as endangered in the state of New Jersey."
7,"17 State Street"," 17 State Street is a 42-story building in the Financial District of Manhattan. It was designed by Emery Roth and Sons and it is most noted for its distinct curved facade. The building has been owned by RFR Holding since 1999 when it was acquired from Savannah Teachers Properties Inc. for $120 million.The bottom floors of the skyscraper are home to New York Unearthed an urban archaeology museum with approximately two million artifacts from local excavation sites."
11,"Millettia leucantha"," Millettia leucantha or sathon is a species of plant in the Fabaceae family.It is a perennial flowering tree found in Laos Myanmar and Thailand.It is the provincial tree and flower of Khorat or Nakhon Ratchasima Province in Isaan (Thailand) where it is known as sathon (สาธร)."
14,"Jackson Free Press"," The Jackson Free Press referred to often as simply JFP is an alternative weekly newspaper in Jackson Mississippi founded in 2002 by Mississippi native Donna Ladd author and technology expert Todd Stauffer and a group of young Jacksonians wanting a progressive voice in the state. It is currently the only member of the Association of Alternative Newsweeklies (AAN) in the state of Mississippi."
